R^2 score (test): 0.707
R^2 score (train): 0.714
Intercept: 311775.7497171513
Coefficients:
bed: -13288.421092955548
bath: 15849.54929044852
sqft: 182.80085706353566
citi_Port Hueneme, CA: 33793.94536810648
citi_Porter Ranch, CA: 119870.99143496383
citi_Potrero, CA: -141618.69945064807
citi_Poway, CA: 84770.76150153924
citi_Quartz Hill, CA: -365348.8834101357
citi_Ramona, CA: -136825.54479081943
citi_Ranchita, CA: -302834.79261685687
citi_Rancho Bernardo, CA: 26935.753050605323
citi_Rancho Cucamonga, CA: -60681.77271913865
citi_Rancho Mirage, CA: -80392.16885356142
citi_Rancho Palos Verdes, CA: 433048.79374048684
citi_Rancho Santa Margarita, CA: 105220.3398304937
citi_Redlands, CA: -124149.29983863147
citi_Redondo Beach, CA: 394525.5826295123
citi_Reseda, CA: 47501.45569446923
citi_Rialto, CA: -212114.60428397512
citi_Rimforest, CA: -306152.9346454006
citi_Riverside, CA: -185377.69655671716
citi_Romoland, CA: -372112.43276436033
citi_Rosamond, CA: -341389.0460550171
citi_Rosemead, CA: 140242.48048745535
citi_Rossmoor, CA: 410471.28021073714
citi_Rowland Heights, CA: 104838.47867647797
citi_Running Springs, CA: -271202.1836924058
citi_Salton City, CA: 1.4551915228366852e-11
citi_San Bernardino, CA: -227453.86108564268
citi_San Clemente, CA: 189571.47999027374
citi_San Diego, CA: 125327.23323307124
citi_San Dimas, CA: 39355.215468300645
citi_San Fernando, CA: -4941.496056386002
citi_San Gabriel, CA: 194471.21575016624
citi_San Jacinto, CA: -335500.48480641266
citi_San Juan Capistrano, CA: 115242.59843538057
citi_San Luis Obispo, CA: 179656.1056315878
citi_San Marcos, CA: -75500.89950312299
citi_San Marino, CA: 608543.9216722046
citi_San Miguel, CA: -29957.98007770323
citi_San Pedro, CA: 132225.07149379104
citi_Santa Ana, CA: 79162.8892509866
citi_Santa Barbara, CA: 470832.90343616705
citi_Santa Clarita, CA: -239745.90476198867
citi_Santa Fe Springs, CA: -36313.84597018068
citi_Santa Margarita, CA: -122699.20171375942
citi_Santa Maria, CA: -142214.96822536038
citi_Santa Monica, CA: 936742.8061036804
citi_Santa Paula, CA: -48586.8279534608
citi_Santa Ynez, CA: 218459.69514516744
citi_Santa Ysabel, CA: -176904.2305616167
citi_Santee, CA: -30021.53487260671
citi_Saugus, CA: -81229.10321291648
citi_Seal Beach, CA: -154848.75027265452
citi_Shadow Hills, CA: 132875.2677743993
citi_Shandon, CA: -187332.72370302645
citi_Sherman Oaks, CA: 521721.8914438823
citi_Sierra Madre, CA: 442840.46137331054
citi_Silverado, CA: -71607.52855298328
citi_Simi Valley, CA: 21977.911925766384
citi_Solana Beach, CA: 566772.1951481041
citi_Somis, CA: 249626.66297726237
citi_South El Monte, CA: 15467.212369070181
citi_South Gate, CA: -76405.90890020144
citi_South Pasadena, CA: -249694.98836100564
citi_Spring Valley, CA: -55573.84637385665
citi_Stallion Springs, CA: -366228.7368862332
citi_Stanton, CA: 29786.69463601167
citi_Stevenson Ranch, CA: 15284.271017260216
citi_Studio City, CA: 629409.7632395197
citi_Sugarloaf, CA: -269374.0282530872
citi_Sun City, CA: -309339.0858670963
citi_Sun Valley, CA: 80151.14238561469
citi_Sunland, CA: 182648.01234645236
citi_Sylmar, CA: -61094.67034218868
citi_Tarzana, CA: 278042.49249829026
citi_Tehachapi, CA: -376240.3424827749
citi_Temecula, CA: -166513.29837233483
citi_Temple City, CA: 153637.73544008695
citi_Templeton, CA: 34793.59198650772
citi_Thermal, CA: 74734.83312698477
citi_Thousand Oaks, CA: 172017.05707283766
citi_Thousand Palms, CA: -340342.3224254591
citi_Topanga, CA: 241545.19776031017
citi_Torrance, CA: 212080.1505492482
citi_Trabuco Canyon, CA: 122096.49104934592
citi_Tujunga, CA: 97344.24868979205
citi_Tustin, CA: 121057.69393839774
citi_Twin Peaks, CA: -177120.7224580599
citi_Upland, CA: -45380.992359879325
citi_Val Verde, CA: -114207.38335542749
citi_Valencia, CA: -41604.18999927766
citi_Valley Center, CA: -73693.39923630781
citi_Valley Glen, CA: 214503.67815564678
citi_Valley Village, CA: 346219.08362743235
citi_Van Nuys, CA: 150958.39432839185
citi_Vandenberg Village, CA: -92759.08946368343
citi_Ventura, CA: 147613.20302009262
citi_Victorville, CA: -376814.9611947685
citi_View Park, CA: 240728.3711328865
citi_Villa Park, CA: 469988.141940256
citi_Vista, CA: -28857.50765597762
citi_Walnut, CA: 161225.68900671063
citi_Warner Springs, CA: -307263.5450770928
citi_West Covina, CA: 2098.312421191522
citi_West Hills, CA: 118600.39702264863
citi_Westlake Village, CA: 324542.08457731723
citi_Westminster, CA: 142379.3485515407
citi_Whitewater, CA: -312100.9791998408
citi_Whittier, CA: 32004.312616168834
citi_Wildomar, CA: -259171.35249407747
citi_Wilmington, CA: -12581.898286950249
citi_Winchester, CA: -251781.47047887047
citi_Winnetka, CA: 68578.1833588396
citi_Wofford Heights, CA: 1.434003934264183e-06
citi_Woodland Hills, CA: 272514.54330345354
citi_Wrightwood, CA: -137006.48802755226
citi_Yorba Linda, CA: 165299.67729154584
citi_Yucaipa, CA: -216935.04747825256
citi_Yucca Valley, CA: -312768.16409798857
